Year,Total fertility rate
1924,2.972
1925,2.95
1926,2.848
1927,2.8
1928,2.768
1929,2.635
1930,2.581
1931,2.359
1932,2.187
1933,2.166
1934,2.107
1935,2.115
1936,2.178
1937,2.208
1938,2.205
1939,2.222
1940,2.256
1941,2.364
1942,2.375
1943,2.569
1944,2.63
1945,2.736
1946,2.986
1947,3.076
1948,2.985
1949,2.986
1950,3.067
1951,3.059
1952,3.181
1953,3.193
1954,3.191
1955,3.275
1956,3.33
1957,3.421
1958,3.421
1959,3.44
1960,3.451
1961,3.548
1962,3.431
1963,3.343
1964,3.154
1965,2.973
1966,2.885
1967,2.847
1968,2.886
1969,2.887
1970,2.859
1971,2.945
1972,2.743
1973,2.491
1974,2.321
1975,2.148
1976,2.06
1977,2.007
1978,1.949
1979,1.907
1980,1.891
1981,1.935
1982,1.929
1983,1.924
1984,1.84
1985,1.923
1986,1.868
1987,1.845
1988,1.831
1989,1.838
1990,1.902
1991,1.849
1992,1.89
1993,1.863
1994,1.847
1995,1.829
1996,1.805
1997,1.788
1998,1.773
1999,1.767
2000,1.769
2001,1.743
2002,1.771
2003,1.765
2004,1.782
2005,1.846
2006,1.875
2007,1.994
2008,2.023
2009,1.97
2010,1.954
2011,1.917
2012,1.929
2013,1.881
2014,1.795
2015,1.796
2016,1.792
2017,1.743
2018,1.745
2019,1.666
2020,1.593
2021,1.696
2022,1.631
2023,1.499
2024,1.481
