Year,Proportion of overseas-born (%),Number of Australian-born,Number of overseas-born
1891,32.4,1.8,0.86
1892,31.3,1.89,0.86
1893,30.2,1.98,0.86
1894,29.1,2.08,0.86
1895,28.1,2.18,0.86
1896,27.1,2.29,0.86
1897,26.2,2.4,0.86
1898,25.2,2.52,0.86
1899,24.3,2.65,0.86
1900,23.5,2.78,0.86
1901,22.7,2.92,0.86
1902,22,2.99,0.85
1903,21.4,3.06,0.84
1904,20.8,3.13,0.83
1905,20.2,3.21,0.82
1906,19.6,3.28,0.81
1907,19.1,3.36,0.8
1908,18.6,3.44,0.79
1909,18,3.53,0.78
1910,17.5,3.61,0.77
1911,17,3.7,0.76
1912,16.9,3.78,0.77
1913,16.7,3.86,0.77
1914,16.5,3.95,0.78
1915,16.4,4.03,0.79
1916,16.2,4.12,0.8
1917,16,4.21,0.81
1918,15.9,4.31,0.81
1919,15.7,4.4,0.82
1920,15.6,4.5,0.83
1921,15.4,4.6,0.84
1922,15.3,4.68,0.84
1923,15.1,4.77,0.85
1924,15,4.86,0.85
1925,14.8,4.95,0.86
1926,14.6,5.04,0.87
1927,14.5,5.13,0.87
1928,14.3,5.23,0.88
1929,14.2,5.32,0.88
1930,14.1,5.42,0.89
1931,13.9,5.52,0.89
1932,13.8,5.62,0.9
1933,13.6,5.73,0.9
1934,13.3,5.8,0.89
1935,13,5.87,0.88
1936,12.7,5.95,0.87
1937,12.4,6.02,0.85
1938,12.1,6.1,0.84
1939,11.8,6.18,0.83
1940,11.6,6.26,0.82
1941,11.3,6.34,0.81
1942,11,6.42,0.8
1943,10.8,6.5,0.79
1944,10.5,6.58,0.78
1945,10.3,6.66,0.77
1946,10.1,6.75,0.75
1947,9.8,6.84,0.74
1948,10.4,6.95,0.8
1949,10.9,7.07,0.87
1950,11.5,7.19,0.94
1951,12.2,7.32,1.02
1952,12.9,7.44,1.1
1953,13.6,7.57,1.19
1954,14.3,7.7,1.29
1955,14.7,7.84,1.35
1956,15,7.98,1.41
1957,15.4,8.13,1.48
1958,15.8,8.27,1.55
1959,16.1,8.42,1.62
1960,16.5,8.57,1.7
1961,16.9,8.73,1.78
1962,17.2,8.86,1.84
1963,17.5,9,1.91
1964,17.8,9.14,1.98
1965,18.1,9.28,2.06
1966,18.4,9.42,2.13
1967,18.8,9.57,2.21
1968,19.1,9.72,2.3
1969,19.5,9.87,2.39
1970,19.9,10.02,2.48
1971,20.2,10.18,2.58
1972,20.2,10.3,2.6
1973,20.1,10.43,2.62
1974,20,10.56,2.64
1975,20,10.69,2.67
1976,19.9,10.83,2.69
1977,20,10.96,2.75
1978,20.2,11.1,2.8
1979,20.3,11.24,2.86
1980,20.4,11.39,2.93
1981,20.6,11.53,2.99
1982,20.6,11.68,3.04
1983,20.7,11.83,3.09
1984,20.8,11.98,3.14
1985,20.8,12.14,3.19
1986,20.9,12.3,3.25
1987,21.2,12.43,3.34
1988,21.5,12.57,3.45
1989,21.8,12.72,3.55
1990,22.1,12.86,3.66
1991,22.5,13,3.77
1992,23.1,13.45,4.03
1993,23,13.58,4.05
1994,23,13.72,4.09
1995,23.1,13.85,4.15
1996,23.3,13.98,4.24
1997,23.3,14.13,4.29
1998,23.2,14.3,4.31
1999,23.1,14.47,4.35
2000,23,14.64,4.39
2001,23.1,14.82,4.45
2002,23.3,14.94,4.55
2003,23.6,15.07,4.66
2004,23.8,15.18,4.75
2005,24.2,15.3,4.88
2006,24.6,15.42,5.03
2007,25.1,15.59,5.23
2008,25.8,15.77,5.48
2009,26.4,15.96,5.73
2010,26.7,16.15,5.88
2011,26.9,16.32,6.02
2012,27.3,16.52,6.21
2013,27.7,16.72,6.41
2014,28,16.91,6.57
2015,28.3,17.09,6.73
2016,28.6,17.28,6.91
2017,29,17.45,7.14
2018,29.4,17.62,7.35
2019,29.8,17.79,7.55
2020,29.9,17.98,7.67
2021,29.3,18.16,7.53
2022,29.5,18.33,7.68
2023,30.7,18.47,8.19
2024,31.5,18.62,8.58
2025,32,18.78,8.83
