Year,15-19,20-24,25-29,30-34,35-39,40-44,45-49
1924,27.9,132.2,164.7,134.2,93.3,38.1,4
1925,29.1,130.8,163.4,131.3,92.8,38.4,4.1
1926,29.2,127.4,159.4,125.4,88.2,36.2,3.8
1927,29.9,127.7,156.2,124.1,83.5,34.9,3.6
1928,30.6,128.5,153.9,120.2,82.8,33.6,3.9
1929,29.4,122.7,148.2,114.3,76.9,32,3.4
1930,29.3,120.2,144.9,112.2,75.6,30.9,3.1
1931,27.2,110.8,130.7,104.4,67.9,27.7,3.1
1932,25.9,101,122.2,96.3,63.2,25.8,2.9
1933,25.6,99.6,123.6,96,61.3,24.5,2.6
1934,24.6,97.9,120.7,93.3,58.4,24.1,2.3
1935,24.6,99.6,123.2,94,57.3,21.9,2.3
1936,24.9,103.5,127.5,95.5,60.3,21.6,2.2
1937,24.6,107.1,130.7,97.9,58.6,20.7,2
1938,23.8,108.4,130.9,99.2,56.3,20.2,2.1
1939,24.3,110.5,133.9,98.3,56.4,19,1.9
1940,23.6,112.5,136.8,100.5,56.6,19.4,1.7
1941,24.3,121,143.5,104.9,57.8,19.6,1.7
1942,24,121.8,143.6,104.2,60,19.6,1.7
1943,24.3,132.5,155.4,114.8,64.5,20.6,1.6
1944,22.9,126.7,157.3,122.5,72.9,22.1,1.6
1945,23.8,132.4,164.2,125.2,76.1,23.7,1.8
1946,26.1,151.1,183.2,131.7,78.3,24.6,2.1
1947,32.1,166.2,186.6,130,75,23.5,1.8
1948,34.2,163,179.8,124.6,71.2,22.5,1.7
1949,35.8,167.4,180.9,121.9,68.4,21.2,1.6
1950,37,173.5,186,124.6,68.8,21.8,1.6
1951,38.6,177.2,185.3,123.1,65,21,1.6
1952,39.3,189.7,192.7,126.1,66.1,20.5,1.7
1953,38.8,194.7,193.2,124.6,65.3,20.5,1.4
1954,39.2,197.1,194,121.8,64.4,20.2,1.5
1955,41.8,205.4,199.6,122,64.4,20.4,1.4
1956,43,210.9,203,123.5,64.2,19.7,1.6
1957,44,216.2,210.7,127.2,65.1,19.5,1.4
1958,44.6,215.9,212.9,126.4,64.3,18.5,1.5
1959,45.2,219,214.4,125.7,63.6,18.6,1.5
1960,44.3,220.1,216.3,127.5,62.3,18.4,1.3
1961,47.4,225.8,221.2,131.1,63.4,19.2,1.4
1962,44.7,216,216.7,127.7,61.4,18.4,1.2
1963,45.9,208.2,211.2,123.9,59.7,18.6,1.1
1964,47,190.5,198.1,119.1,58.4,16.5,1.2
1965,47.5,179.3,188.5,110.1,53,15,1.1
1966,48.9,173.1,183.9,105.1,50.6,14.2,1.1
