Quarter,Total growth,Natural increase,Net overseas migration
1/09/2005,255050,130362,130819
1/12/2005,265540,134156,137009
1/03/2006,271579,133543,143153
1/06/2006,274122,131973,146753
1/09/2006,297555,136595,166253
1/12/2006,316004,139793,182196
1/03/2007,344685,146327,205033
1/06/2007,376656,151225,232796
1/09/2007,381878,151295,238660
1/12/2007,388574,153327,244030
1/03/2008,406111,154155,261444
1/06/2008,421577,154432,277338
1/09/2008,441889,154320,298648
1/12/2008,459504,155794,315687
1/03/2009,452748,154693,310921
1/06/2009,442454,156343,299866
1/09/2009,422039,158728,278259
1/12/2009,389998,159237,246900
1/03/2010,362421,161691,218063
1/06/2010,340097,162566,196058
1/09/2010,316314,161846,175318
1/12/2010,306846,157978,172038
1/03/2011,304661,157003,173149
1/06/2011,308274,155714,180372
1/09/2011,328369,154518,194040
1/12/2011,349728,156050,206240
1/03/2012,372185,157854,219276
1/06/2012,393441,158822,231947
1/09/2012,401151,158708,239848
1/12/2012,405826,163064,240248
1/03/2013,402061,162153,237462
1/06/2013,394664,161958,230329
1/09/2013,386309,162611,221214
1/12/2013,369754,158791,208379
1/03/2014,363189,158305,202191
1/06/2014,347557,156976,187778
1/09/2014,342670,155718,183735
1/12/2014,342554,156565,182345
1/03/2015,339436,154285,181080
1/06/2015,340309,151779,184033
1/09/2015,341370,150622,184227
1/12/2015,344250,148985,186730
1/03/2016,357796,151267,195976
1/06/2016,374912,154351,206233
1/09/2016,393259,154883,229509
1/12/2016,400483,153212,243829
1/03/2017,407984,150436,259585
1/06/2017,401681,147602,263351
1/09/2017,392541,142603,259426
1/12/2017,373954,142005,241661
1/03/2018,370342,142279,237997
1/06/2018,370670,142604,238224
1/09/2018,377328,145498,242320
1/12/2018,387122,145721,252220
1/03/2019,383181,143667,250669
1/06/2019,371568,141719,241338
1/09/2019,370674,140531,242035
1/12/2019,374328,139003,247620
1/03/2020,362992,136444,239245
1/06/2020,314422,134819,192703
1/09/2020,195268,134057,75627
1/12/2020,110230,130926,-4957
1/03/2021,25081,136468,-94326
1/06/2021,36164,139479,-84930
1/09/2021,71433,140606,-55378
1/12/2021,143097,143012,9304
1/03/2022,259972,133565,131018
1/06/2022,333309,125397,207912
1/09/2022,464540,115911,348629
1/12/2022,546490,108633,437857
1/03/2023,601325,105492,495833
1/06/2023,641201,102860,538341
1/09/2023,661817,106019,555798
1/12/2023,636375,105755,530620
1/03/2024,599215,105392,493823
1/06/2024,534364,105202,429162
1/09/2024,470018,104389,365629
1/12/2024,431473,101411,330062
1/03/2025,417926,107433,310493
1/06/2025,419368,114556,304812
1/09/2025,423595,112604,310991
