Sex,Age,1901,1950,2000,2021
Male,0-4,219987,455000,653221,775899
Male,5-9,231132,358500,688195,831381
Male,10-14,218946,296600,680131,835320
Male,15-19,189434,281700,671954,761881
Male,20-24,174644,328900,649535,837065
Male,25-29,163029,346200,716339,918534
Male,30-34,156062,307900,704211,940571
Male,35-39,152163,317000,744059,928128
Male,40-44,126135,286700,715742,815891
Male,45-49,88833,250800,663238,817346
Male,50-54,66809,217900,630498,794263
Male,55-59,52928,197900,487075,762686
Male,60-64,46074,174700,398235,711335
Male,65-69,38326,127200,329907,617714
Male,70-74,25675,84200,297685,554728
Male,75-79,12709,51300,218191,387887
Male,80-84,5961,27500,118211,249963
Male,85 and over,2192,12900,77038,208818
Female,0-4,214754,434100,620507,733102
Female,5-9,225849,345200,653189,784926
Female,10-14,215206,286500,648099,788254
Female,15-19,188681,270000,643833,717331
Female,20-24,176349,312100,630318,785839
Female,25-29,157515,331200,721080,902967
Female,30-34,136009,302700,714004,958664
Female,35-39,120547,306200,752101,938968
Female,40-44,95055,262600,724739,838500
Female,45-49,66176,232100,670207,832618
Female,50-54,52263,221100,619246,817482
Female,55-59,43366,209600,470468,788117
Female,60-64,37224,182000,394318,754125
Female,65-69,30094,139700,342887,662761
Female,70-74,18301,100500,331527,592099
Female,75-79,9739,63800,285927,419384
Female,80-84,4961,37300,188803,295455
Female,85 and over,2030,19100,174084,325410
